labelsOrig,labels,,,title,,,description
"Wheelhouse,bug ","Trawl Survey,Wheelhouse,bug ",TowLogger,Fix,Trawl: TowLogger: Tow timer accuracy (Fix),Tow timer accuracy,Harms,"This may also have been totally fixed as of last year (and may be related to computer clock drift issues), but ensure that tow timer starts at 0:00 and that the prompt to haul back at 15:00; there had been some issues with the haul back prompt occurring early, or even not at all."
"Backdeck,enhancement","Trawl Survey,Backdeck,enhancement",Fish Sampling,Would be nice,Trawl: Fish Sampling: Tanner crab processing efficiency (Would be nice),Tanner crab processing efficiency,Harms,Remove the prompt for age during tanner crab processing
"Backdeck,enhancement","Trawl Survey,Backdeck,enhancement",Fish Sampling,Would be nice,Trawl: Fish Sampling: Fin clip # check (Would be nice),Fin clip # check,Harms,Add check for sequential / expected fin clip numbers
"Backdeck,bug","Trawl Survey,Backdeck,bug",Catch,Fix,Trawl: Catch: Add Deacon rockfish to selection (Fix),Add Deacon rockfish to selection,Harms,
trawl analyzer,trawl analyzer,Improve,Make PX availible for trackline depth,Trawl Analyzer: Make PX availible for trackline depth (Fix - trackline),trackline,Pete,"TV80 trawleye should be an option for trackline depth signal, sometimes it is the best if sbe39 is missing"
trawl analyzer,"trawl analyzer,bug",Fix,TA crashes when toggling bad points,Trawl Analyzer: TA crashes when toggling bad points (Fix - trackline),trackline,Pete,"Having lots of program crashes when toggling bad range points in the 'review data' pop-up, though changes seem to have stuck when you reopen TA"
trawl analyzer,trawl analyzer,Improve,Freeze  sensor display colors,Trawl Analyzer: Freeze  sensor display colors (Fix / Bug - sensors),sensors,Pete,"PLEASE freeze the colors so that they don't change, either ever or at the very least every time you  make adjustments / deletions"
trawl analyzer,"trawl analyzer,bug",Fix,lat / longs not visible after leaving tow,Trawl Analyzer: lat / longs not visible after leaving tow (Fix / Bug - means),means,Pete,"My saved lat/lon means do not show up after I go to another tow and return, even though Beth assures me they still exist"
trawl analyzer,"trawl analyzer,bug",Fix,clicks on pull down menu often not aligned,Trawl Analyzer: clicks on pull down menu often not aligned (Would be nice - shift time series),shift time series,Pete,Often selecting time series from pull down menu is difficult like cursor doesn't line up with menu view (selects a different one than the one you click)
trawl analyzer,trawl analyzer,Improve,make 'lat / lons' and 'depth signal' sticky,Trawl Analyzer: make 'lat / lons' and 'depth signal' sticky (Would be nice - means),means,Pete,Would be SO nice if selected 'lat / lons' and 'depth signal' would stick from what you selected in trackline when you go to calculate means
trawl analyzer,trawl analyzer,Improve,Add 'undo' and 'previous view' buttons,Trawl Analyzer: Add 'undo' and 'previous view' buttons (Would be nice - sensors),sensors,Pete,"Need an 'undo' button if you delete / shift the wrong thing, a prevoius view button like in Integrator would also be nice"
trawl analyzer,"trawl analyzer,bug",Fix,Mouse-shifting issue for deleting bad points,Trawl Analyzer: Mouse-shifting issue for deleting bad points (Would be nice - bad points),bad points,Pete,Would be good to eliminate shift that makes it difficult to delete multiple points using the sensor display without having to pull up the series in 'review data'
trawl analyzer,trawl analyzer,Improve,Orient vessel 'triangle' waypoint mark using compass,Trawl Analyzer: Orient vessel 'triangle' waypoint mark using compass (Longterm - trackline),trackline,Pete,"Might be a longshot, but would be amazing if the vessel position triangles in the trackline display were oriented using the compass heading at that waypoint. This would make it easier to decide if ITI tracks seem plausible or if caternary should be preferred."
